Website,Name,Price,Ratings,Time,Link
Amazon,"Samsung Galaxy A05 (Silver, 4GB, 64GB Storage) | 50 MP Main Camera | Upto 8GB RAM with RAM Plus | MediaTek Helio G85 | 5000 mAh Battery",8699,3.6,NA,https://www.amazon.in/Samsung-Galaxy-Storage-MediaTek-Battery/dp/B0CJ2G2TZQ/ref=sr_1_1?dib=eyJ2IjoiMSJ9.uEiz9BQoyT8NlT_oJvTq5H0y1oQxlcU3gjjqx_o9x52xxcodXjf2eu8zX_PSlJbV_uZro4dQER4N27yqLGCOC5vty1MxG-qNpUbWiF01kfpZzeu_zeGMgRoIOItuDANIIpbihXKVdDAyJgUJx9HQEBhhIJWy7Fg0_lCfGn-l0g5LPB88Yf7dSv3r7fw5hTTN.P86hBCu40XWoxhBnRYsfhsAKgqpXSV9c3a4wJetjK7c&dib_tag=se&keywords=Samsung+M32+64GB+ROM+4+GB+RAM&qid=1712120192&sr=8-1
Amazon,"(Refurbished) Samsung Galaxy M32 - Black, 4GB RAM, 64GB Storage",10999,2.9,NA,https://www.amazon.in/Renewed-Samsung-Galaxy-M32-Storage/dp/B09NMD7LX5/ref=sr_1_2?dib=eyJ2IjoiMSJ9.uEiz9BQoyT8NlT_oJvTq5H0y1oQxlcU3gjjqx_o9x52xxcodXjf2eu8zX_PSlJbV_uZro4dQER4N27yqLGCOC5vty1MxG-qNpUbWiF01kfpZzeu_zeGMgRoIOItuDANIIpbihXKVdDAyJgUJx9HQEBhhIJWy7Fg0_lCfGn-l0g5LPB88Yf7dSv3r7fw5hTTN.P86hBCu40XWoxhBnRYsfhsAKgqpXSV9c3a4wJetjK7c&dib_tag=se&keywords=Samsung+M32+64GB+ROM+4+GB+RAM&qid=1712120192&sr=8-2
Amazon,"Samsung Galaxy M13 (Stardust Brown, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus",9999,4.1,NA,https://www.amazon.in/Samsung-Stardust-Storage-6000mAh-Battery/dp/B0B4F2K7N1/ref=sr_1_3?dib=eyJ2IjoiMSJ9.uEiz9BQoyT8NlT_oJvTq5H0y1oQxlcU3gjjqx_o9x52xxcodXjf2eu8zX_PSlJbV_uZro4dQER4N27yqLGCOC5vty1MxG-qNpUbWiF01kfpZzeu_zeGMgRoIOItuDANIIpbihXKVdDAyJgUJx9HQEBhhIJWy7Fg0_lCfGn-l0g5LPB88Yf7dSv3r7fw5hTTN.P86hBCu40XWoxhBnRYsfhsAKgqpXSV9c3a4wJetjK7c&dib_tag=se&keywords=Samsung+M32+64GB+ROM+4+GB+RAM&qid=1712120192&sr=8-3
Amazon,"(Refurbished) Samsung Galaxy M13 (Aqua Green, 4GB, 64GB Storage) | 5000mAh Battery | Upto 8GB RAM with RAM Plus Screenshot attached",NA,3.5,NA,NA
Amazon,"(Refurbished) Samsung Galaxy M32 (Black, 6GB RAM, 128GB Storage)",10999,3.3,NA,https://www.amazon.in/Renewed-Samsung-Galaxy-Black-Storage/dp/B09FTBZ4G3/ref=sr_1_5?dib=eyJ2IjoiMSJ9.uEiz9BQoyT8NlT_oJvTq5H0y1oQxlcU3gjjqx_o9x52xxcodXjf2eu8zX_PSlJbV_uZro4dQER4N27yqLGCOC5vty1MxG-qNpUbWiF01kfpZzeu_zeGMgRoIOItuDANIIpbihXKVdDAyJgUJx9HQEBhhIJWy7Fg0_lCfGn-l0g5LPB88Yf7dSv3r7fw5hTTN.P86hBCu40XWoxhBnRYsfhsAKgqpXSV9c3a4wJetjK7c&dib_tag=se&keywords=Samsung+M32+64GB+ROM+4+GB+RAM&qid=1712120192&sr=8-5
Amazon,"(Refurbished) Samsung Galaxy M32 5G (Sky Blue, 8GB RAM, 128GB Storage)",12999,NA,NA,https://www.amazon.in/Renewed-Samsung-Galaxy-128GB-Storage/dp/B09ZV1GX95/ref=sr_1_6?dib=eyJ2IjoiMSJ9.uEiz9BQoyT8NlT_oJvTq5H0y1oQxlcU3gjjqx_o9x52xxcodXjf2eu8zX_PSlJbV_uZro4dQER4N27yqLGCOC5vty1MxG-qNpUbWiF01kfpZzeu_zeGMgRoIOItuDANIIpbihXKVdDAyJgUJx9HQEBhhIJWy7Fg0_lCfGn-l0g5LPB88Yf7dSv3r7fw5hTTN.P86hBCu40XWoxhBnRYsfhsAKgqpXSV9c3a4wJetjK7c&dib_tag=se&keywords=Samsung+M32+64GB+ROM+4+GB+RAM&qid=1712120192&sr=8-6
Amazon,"Samsung Galaxy A12 (Blue,4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",11990,4.0,NA,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B08WC387F8/ref=sr_1_7?dib=eyJ2IjoiMSJ9.uEiz9BQoyT8NlT_oJvTq5H0y1oQxlcU3gjjqx_o9x52xxcodXjf2eu8zX_PSlJbV_uZro4dQER4N27yqLGCOC5vty1MxG-qNpUbWiF01kfpZzeu_zeGMgRoIOItuDANIIpbihXKVdDAyJgUJx9HQEBhhIJWy7Fg0_lCfGn-l0g5LPB88Yf7dSv3r7fw5hTTN.P86hBCu40XWoxhBnRYsfhsAKgqpXSV9c3a4wJetjK7c&dib_tag=se&keywords=Samsung+M32+64GB+ROM+4+GB+RAM&qid=1712120192&sr=8-7
Amazon,"Samsung Galaxy A03s (Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",7679,3.7,NA,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B09C8KQHMR/ref=sr_1_8?dib=eyJ2IjoiMSJ9.uEiz9BQoyT8NlT_oJvTq5H0y1oQxlcU3gjjqx_o9x52xxcodXjf2eu8zX_PSlJbV_uZro4dQER4N27yqLGCOC5vty1MxG-qNpUbWiF01kfpZzeu_zeGMgRoIOItuDANIIpbihXKVdDAyJgUJx9HQEBhhIJWy7Fg0_lCfGn-l0g5LPB88Yf7dSv3r7fw5hTTN.P86hBCu40XWoxhBnRYsfhsAKgqpXSV9c3a4wJetjK7c&dib_tag=se&keywords=Samsung+M32+64GB+ROM+4+GB+RAM&qid=1712120192&sr=8-8
Amazon,"Motorola E32 (4GB, 64GB) (Arctic Blue)",6389,3.3,NA,https://www.amazon.in/Motorola-E32-64GB-Arctic-Blue/dp/B0BNKJVS1G/ref=sr_1_9?dib=eyJ2IjoiMSJ9.uEiz9BQoyT8NlT_oJvTq5H0y1oQxlcU3gjjqx_o9x52xxcodXjf2eu8zX_PSlJbV_uZro4dQER4N27yqLGCOC5vty1MxG-qNpUbWiF01kfpZzeu_zeGMgRoIOItuDANIIpbihXKVdDAyJgUJx9HQEBhhIJWy7Fg0_lCfGn-l0g5LPB88Yf7dSv3r7fw5hTTN.P86hBCu40XWoxhBnRYsfhsAKgqpXSV9c3a4wJetjK7c&dib_tag=se&keywords=Samsung+M32+64GB+ROM+4+GB+RAM&qid=1712120192&sr=8-9
Amazon,"(Refurbished) Samsung A32 (White, 6GB RAM, 128GB Storage)ffers",18999,NA,NA,https://www.amazon.in/Renewed-Samsung-Storage-Additional-Exchange/dp/B097MPJN21/ref=sr_1_10?dib=eyJ2IjoiMSJ9.uEiz9BQoyT8NlT_oJvTq5H0y1oQxlcU3gjjqx_o9x52xxcodXjf2eu8zX_PSlJbV_uZro4dQER4N27yqLGCOC5vty1MxG-qNpUbWiF01kfpZzeu_zeGMgRoIOItuDANIIpbihXKVdDAyJgUJx9HQEBhhIJWy7Fg0_lCfGn-l0g5LPB88Yf7dSv3r7fw5hTTN.P86hBCu40XWoxhBnRYsfhsAKgqpXSV9c3a4wJetjK7c&dib_tag=se&keywords=Samsung+M32+64GB+ROM+4+GB+RAM&qid=1712120192&sr=8-10
Amazon,"Samsung Galaxy A03 Black, 3GB RAM, 32GB Storage with No Cost EMI/Additional Exchange Offers",9999,3.9,NA,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B09TKTXNZB/ref=sr_1_11?dib=eyJ2IjoiMSJ9.uEiz9BQoyT8NlT_oJvTq5H0y1oQxlcU3gjjqx_o9x52xxcodXjf2eu8zX_PSlJbV_uZro4dQER4N27yqLGCOC5vty1MxG-qNpUbWiF01kfpZzeu_zeGMgRoIOItuDANIIpbihXKVdDAyJgUJx9HQEBhhIJWy7Fg0_lCfGn-l0g5LPB88Yf7dSv3r7fw5hTTN.P86hBCu40XWoxhBnRYsfhsAKgqpXSV9c3a4wJetjK7c&dib_tag=se&keywords=Samsung+M32+64GB+ROM+4+GB+RAM&qid=1712120192&sr=8-11
Amazon,"Samsung Galaxy A32 (Black 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",17999,4.0,NA,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B09LS1P2FB/ref=sr_1_12?dib=eyJ2IjoiMSJ9.uEiz9BQoyT8NlT_oJvTq5H0y1oQxlcU3gjjqx_o9x52xxcodXjf2eu8zX_PSlJbV_uZro4dQER4N27yqLGCOC5vty1MxG-qNpUbWiF01kfpZzeu_zeGMgRoIOItuDANIIpbihXKVdDAyJgUJx9HQEBhhIJWy7Fg0_lCfGn-l0g5LPB88Yf7dSv3r7fw5hTTN.P86hBCu40XWoxhBnRYsfhsAKgqpXSV9c3a4wJetjK7c&dib_tag=se&keywords=Samsung+M32+64GB+ROM+4+GB+RAM&qid=1712120192&sr=8-12
Amazon,"TECNO POP 8 (Mystery White,(8GB*+64GB)|90Hz Punch Hole Display with Dynamic Port & Dual Speakers with DTS| 5000mAh Battery |10W Type-C| Side Fingerprint Sensor| Octa-Core Processor",6799,4.1,NA,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODYwNzQ4NzEyNDg3MDkzOjE3MTIxMjAxOTI6c3BfbXRmOjMwMDExNzc1MDY0NzczMjo6MDo6&url=%2FMystery-Speakers-Fingerprint-Octa-Core-Processor%2Fdp%2FB0CQ7SHTF4%2Fref%3Dsr_1_13_sspa%3Fdib%3DeyJ2IjoiMSJ9.uEiz9BQoyT8NlT_oJvTq5H0y1oQxlcU3gjjqx_o9x52xxcodXjf2eu8zX_PSlJbV_uZro4dQER4N27yqLGCOC5vty1MxG-qNpUbWiF01kfpZzeu_zeGMgRoIOItuDANIIpbihXKVdDAyJgUJx9HQEBhhIJWy7Fg0_lCfGn-l0g5LPB88Yf7dSv3r7fw5hTTN.P86hBCu40XWoxhBnRYsfhsAKgqpXSV9c3a4wJetjK7c%26dib_tag%3Dse%26keywords%3DSamsung%2BM32%2B64GB%2BROM%2B4%2BGB%2BRAM%26qid%3D1712120192%26sr%3D8-13-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
